id,name,lat,lon,address,type,totalSlots,availableSlots,osm_source
6601eb25-b576-4cd7-809f-d074aec2bf7a,Alpha One Mall Parking,23.0264288,72.5660875,"Alpha One Mall, Vastrapur, Ahmedabad",multi-storey,600.0,366,True
cf25a29e-4205-48b8-b6e1-5adedb457ee1,Vastrapur Lake Parking,23.0229,72.5405,"Vastrapur Lake, Ahmedabad",surface,120.0,14,True
a4057a1c-bafb-4631-af50-60bfea0ff529,Ahmedabad Railway Station Parking,23.0312,72.5974,"Kalupur, Ahmedabad Railway Station",surface,300.0,96,True
4d32e285-aeae-4ad8-9ffe-e91089c2cd16,Science City Parking Lot,23.0503,72.6265,"Science City, Ahmedabad",surface,200.0,55,True
16847546-5943-4ad2-9953-53a42a2a142d,Gujarat University Parking,23.0389,72.5567,"Gujarat University, Ahmedabad",surface,400.0,275,True
1adba283-4a55-4a8f-b954-8f4a28b2c4bd,ISCKON Temple Parking,23.042,72.5736,Near ISKCON Ahmedabad,surface,150.0,96,True
08ba3f5e-3e48-448f-be17-d619105cb158,CG Road Public Parking,23.0345,72.5694,"CG Road, Navrangpura",surface,80.0,65,True
ed1acf87-7556-44d4-84c1-7439ab189ef1,Naroda Road Multi-Storey Car Park,23.0592,72.6118,"Naroda Road, Ahmedabad",multi-storey,350.0,59,True
14bc2d76-21df-40c8-bc4a-4498dd5fc8a9,Shivranjani Circle Parking,23.0418,72.569,"Shivranjani Circle, Ahmedabad",surface,60.0,26,True
7434097b-f8fc-42d4-9873-673ee101e208,Drive-in Cinema Surface Parking,23.0335,72.548,"Drive-in Cinema Road, Ahmedabad",surface,180.0,22,True
af14fc7a-0cea-491c-9126-c2785a5e94c6,Satellite Public Parking 288,22.987168,72.560964,"102 Satellite Road, Ahmedabad, Gujarat",underground,400.0,181,False
228a4437-3237-4fb6-a323-e85b8f20292b,Naranpura Public Parking 358,23.087603,72.47117,"217 Naranpura Road, Ahmedabad, Gujarat",underground,200.0,48,False
41432646-e360-44e7-9086-9438dd8065ac,Jamalpur Public Parking 434,22.967376,72.538387,"177 Jamalpur Road, Ahmedabad, Gujarat",surface,150.0,106,False
4decd283-8f0e-43f5-88f7-19b99a3a3091,Gandhinagar Road Public Parking 151,23.11543,72.538136,"186 Gandhinagar Road Road, Ahmedabad, Gujarat",multi-storey,120.0,10,False
8730dd29-bf6c-487a-b6f3-a844f2bc1dc5,Thaltej Public Parking 444,23.081422,72.64734,"52 Thaltej Road, Ahmedabad, Gujarat",underground,250.0,155,False
933feb72-3cb8-4f9f-9770-8b8b998af5e4,Vejalpur Public Parking 360,22.977651,72.533949,"37 Vejalpur Road, Ahmedabad, Gujarat",on-street,100.0,27,False
cd8f1fb7-5021-4b22-b05e-5aa1ae662466,Gandhinagar Road Public Parking 113,23.014507,72.648114,"167 Gandhinagar Road Road, Ahmedabad, Gujarat",underground,50.0,3,False
a1c4b920-317a-498e-ab6d-322e9193d4f4,Isanpur Public Parking 449,23.018198,72.481914,"162 Isanpur Road, Ahmedabad, Gujarat",on-street,120.0,48,False
4b09db8e-b9eb-4973-a57c-9fa0c46c0514,Gandhinagar Road Public Parking 276,22.974288,72.495133,"135 Gandhinagar Road Road, Ahmedabad, Gujarat",multi-storey,250.0,102,False
38320534-76df-4d3a-a90d-3952d7f30ad2,Amraiwadi Public Parking 47,23.119545,72.4949,"25 Amraiwadi Road, Ahmedabad, Gujarat",on-street,75.0,14,False
bc70faef-d400-4552-baf3-e3066f58d5e2,Vastral Public Parking 240,23.05139,72.539258,"271 Vastral Road, Ahmedabad, Gujarat",surface,150.0,123,False
3a26b4d1-8448-45ee-aff2-16aa167fd562,Gandhinagar Road Public Parking 385,23.065648,72.490619,"137 Gandhinagar Road Road, Ahmedabad, Gujarat",surface,,45,False
69077741-88ee-42f4-bba0-dd4263680478,Vejalpur Public Parking 498,23.112149,72.627654,"257 Vejalpur Road, Ahmedabad, Gujarat",underground,100.0,14,False
8d257a37-5314-4e03-be98-c8dd8c037a7f,Bodakdev Public Parking 79,23.093084,72.561379,"192 Bodakdev Road, Ahmedabad, Gujarat",surface,100.0,75,False
509b12ed-89a8-4a92-90c4-21334618e3ac,Maninagar Public Parking 476,23.051821,72.557949,"186 Maninagar Road, Ahmedabad, Gujarat",surface,150.0,40,False
e8b5b9b9-92df-4854-9ed7-95d7d31876f5,Nikol Public Parking 390,22.964561,72.557478,"273 Nikol Road, Ahmedabad, Gujarat",multi-storey,100.0,47,False
f3e0a760-189e-48ca-99ed-08c54406847e,Navrangpura Public Parking 494,22.99506,72.627038,"109 Navrangpura Road, Ahmedabad, Gujarat",underground,400.0,268,False
